"index","code","lc","product_name_de","product_name_el","product_name_en","product_name_es","product_name_fi","product_name_fr","product_name_id","product_name_it","product_name_lt","product_name_lv","product_name_nb","product_name_nl","product_name_pl","product_name_ro","product_name_sl","product_name_sv","generic_name_de","generic_name_en","generic_name_es","generic_name_fr","generic_name_sv","quantity","serving_size","packaging","packaging_tags","brands","brands_tags","brand_owner","categories","categories_tags","labels","labels_tags","countries","countries_tags","stores","stores_tags","obsolete","obsolete_since_date","origins","origins_tags","origin_en","origin_fr","manufacturing_places","manufacturing_places_tags","emb_codes","emb_codes_tags","ingredients_text_de","ingredients_text_en","ingredients_text_es","ingredients_text_fi","ingredients_text_fr","ingredients_text_id","ingredients_text_it","ingredients_text_lt","ingredients_text_lv","ingredients_text_nb","ingredients_text_nl","ingredients_text_pl","ingredients_text_ro","ingredients_text_sv","allergens","allergens_tags","traces","traces_tags","no_nutrition_data","nutrition_data_per","nutrition_data_prepared_per","energy-kj_value","energy-kj_unit","energy-kcal_value","energy-kcal_unit","fat_value","fat_unit","saturated-fat_value","saturated-fat_unit","carbohydrates_value","carbohydrates_unit","sugars_value","sugars_unit","fiber_value","fiber_unit","proteins_value","proteins_unit","salt_value","salt_unit","sodium_value","sodium_unit","alcohol_value","alcohol_unit","energy_value","energy_unit","energy-from-fat_value","energy-from-fat_unit","monounsaturated-fat_value","monounsaturated-fat_unit","polyunsaturated-fat_value","polyunsaturated-fat_unit","omega-3-fat_value","omega-3-fat_unit","omega-6-fat_value","omega-6-fat_unit","omega-9-fat_value","omega-9-fat_unit","trans-fat_value","trans-fat_unit","cholesterol_value","cholesterol_unit","soluble-fiber_value","soluble-fiber_unit","insoluble-fiber_value","insoluble-fiber_unit","vitamin-a_value","vitamin-a_unit","vitamin-d_value","vitamin-d_unit","vitamin-e_value","vitamin-e_unit","vitamin-k_value","vitamin-k_unit","vitamin-c_value","vitamin-c_unit","vitamin-b1_value","vitamin-b1_unit","vitamin-b2_value","vitamin-b2_unit","vitamin-pp_value","vitamin-pp_unit","vitamin-b6_value","vitamin-b6_unit","vitamin-b9_value","vitamin-b9_unit","folates_value","folates_unit","vitamin-b12_value","vitamin-b12_unit","pantothenic-acid_value","pantothenic-acid_unit","potassium_value","potassium_unit","calcium_value","calcium_unit","phosphorus_value","phosphorus_unit","iron_value","iron_unit","magnesium_value","magnesium_unit","zinc_value","zinc_unit","copper_value","copper_unit","manganese_value","manganese_unit","selenium_value","selenium_unit","fruits-vegetables-nuts_value","fruits-vegetables-nuts_unit","phylloquinone_value","phylloquinone_unit","link","off:food_groups","off:food_groups_tags","off:nova_groups","off:nova_groups_tags","off:nutriscore_grade","off:nutriscore_score","off:ecoscore_grade","off:ecoscore_score","off:ecoscore_data.missing_key_data","off:ecoscore_data.agribalyse.code","off:ecoscore_data.adjustments.origins_of_ingredients.value","off:ecoscore_data.adjustments.packaging.value","off:ecoscore_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials","off:ecoscore_data.adjustments.production_system.value","off:ecoscore_data.adjustments.threatened_species.value","sources_fields:org-database-usda:available_date","sources_fields:org-database-usda:fdc_category","sources_fields:org-database-usda:fdc_data_source","sources_fields:org-database-usda:fdc_id","sources_fields:org-database-usda:modified_date","sources_fields:org-database-usda:publication_date","data_sources"
"484","15910578","en","null","null","avocado butter","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","United States","en:united-states","null","null","0","null","null","null","null","null","null","null","null","null","null","blend of plant-based cls palmerlit palmikernel cavola and avocado cli mover salt pearuten sunflower lecten der cred & tanine poliziate martel may contain son upfield using 23 k kementeri 14% sodium 110mg total carb. og 25% protein og vitamin e 0.3mg 255 22 27400 00023 2","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","100g","100g","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","null","null","","unknown","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - InFood, Apps"
"485","94225","en","null","null","Organic Hass Avocado","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Canada","en:canada","null","null","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","100g","100g","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","null","null","","unknown","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - smoothie-openfoodfacts, Apps"
"486","4225","en","null","null","Hass Avocado","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Canada","en:canada","null","null","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","100g","100g","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","null","null","","unknown","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - smoothie-openfoodfacts, Apps"
"487","0842379158261","en","null","null","Avocado oil","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","United States","en:united-states","null","null","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","100g","100g","","null","866.6666666667","kcal","93.3333333333","g","13.3333333333","g","0","g","","null","","null","0","g","0","g","0","g","","null","866.6666666667","kcal","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","null","null","","unknown","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - Yuka, Apps"
"488","0077089227123","en","null","null","Avocado","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","United States","en:united-states","null","null","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","100g","100g","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","null","null","","unknown","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - Yuka, Apps"
"489","8025316102110","it","null","null","null","null","null","null","null","Avocado","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Italia","en:italy","null","null","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","100g","100g","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","null","null","","unknown","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - Yuka, Apps"
"490","0851387007553","en","null","null","Butter with Sea Salt & Avocado Oil","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","7 ounces","null","null","null","Vital Farms","vital-farms","null","Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy spread, Butters, Salted butters","en:dairies,en:fats,en:spreads,en:spreadable-fats,en:animal-fats,en:milkfat,en:dairy-spread,en:butters,en:salted-butters","null","null","United States","en:united-states","Whole Foods Market","whole-foods-market","0","null","Dairy from the United States","en:dairy-from-the-united-states","null","null","null","null","null","null","null","Pasteurized Cream (Milk), Avocado Oil, Sea Salt.","null","null","null","null","null","null","null","null","null","null","null","null","Milk","en:milk","null","null","null","100g","100g","3287","kj","785.71429","kcal","92.85714","g","42.85714","g","0","g","0","g","0","g","0","g","0.80357","g","0.321428","g","","null","3287","kj","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","en:fats","en:fats-and-sauces,en:fats","2","en:2-processed-culinary-ingredients","e","19","d","20","1","16403","-5","-15","1","0","","null","null","null","","null","null","App - yuka, Apps, App - smoothie-openfoodfacts"
"491","0059443114232","fr","null","null","null","null","null","Avocado oil","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Canada","en:canada","null","null","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","100g","100g","","null","800","kcal","93.3333333333","g","13.3333333333","g","0","g","0","g","0","g","0","g","0","g","0","g","","null","800","kcal","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","null","null","","unknown","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - Yuka, Apps"
"492","9350548515025","en","null","null","Cooked Tuna & Avocado sushi","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Australia","en:australia","null","null","0","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","100g","100g","","null","165.7142857143","kcal","5.4285714286","g","2.3333333333","g","24.380952381","g","3.4761904762","g","","null","5.0476190476","g","1.630952381","g","0.6523809524","g","","null","165.7142857143","kcal","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","null","null","","unknown","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - Yuka, Apps"
"493","9317444002134","en","null","null","Avocado with Sea Salt","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Yumi's","yumi-s","null","Condiments, Sauces, Dips","en:condiments,en:sauces,en:dips","Australian made","en:australian-made","Australia","en:australia","Woolworths, Coles","woolworths,coles","0","null","null","null","null","null","null","null","null","null","null","canola oil, avocado (36%) (avocado, food acids (300, 330), vegetable gum (415)), egg, sugar, lime juice, salt (1%), garlic, food acid acetic acid), vegetable gum (415), mustard, colour (100, 141), preservative (202). contains: egg. may be present: fish, tree nuts and sesame seeds.","null","null","null","null","null","null","null","null","null","null","null","null","Eggs, Mustard","en:eggs,en:mustard","Fish, Nuts, Sesame seeds","en:fish,en:nuts,en:sesame-seeds","null","100g","100g","","null","500","kcal","54","g","4.5","g","1.5","g","1.5","g","","null","1.5","g","","null","","null","","null","500","kcal","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","null","","","","null","null","en:dressings-and-sauces","en:fats-and-sauces,en:dressings-and-sauces","4","en:4-ultra-processed-food-and-drink-products","null","","unknown","","1","","-5","-15","1","0","","null","null","null","","null","null","App - InFood, Apps, App - Yuka"
